"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"Meningocócica Conjugada - C (MncC)";"0";"0";"0";"0";"0";"0";"0";"0";"1";"48988";"68434";"111032";"148865";"198363";"297797";"739183";"4115885";"9125767";"8280516";"8747156";"8608911";"8516330";"8485753";"10940632";"9789494";"10141405";"7814560";"96179072"
"Oral Poliomielite (VOP)";"6142675";"9704043";"10600168";"14850527";"16049167";"18257728";"17836736";"17098131";"16353374";"15595462";"15371651";"15403062";"14183868";"13772392";"13138735";"13110373";"12414299";"12785901";"10550241";"2480024";"1606161";"3306833";"4600145";"4580208";"4438537";"4465027";"4352471";"293047939"
"Oral de Rotavírus Humano (VORH)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3512890";"5023431";"5145772";"5303282";"5132288";"5378910";"5336651";"5611129";"5644502";"5689851";"5331791";"5240411";"5273615";"5009710";"4502880";"77137113"
"Pentavalente (DTP+HB+Hib) (PENTA)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2062";"8302";"19218";"12143";"13082";"24110";"17297";"28481";"57307";"2536031";"8573292";"8531478";"8745831";"9449877";"8357009";"8418883";"7112423";"7791893";"69698719"
"Pneumocócica 10valente";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"121";"6755292";"10518113";"10622168";"11051036";"10979187";"11074787";"8356862";"8084080";"7947074";"7776935";"6883060";"100048715"
"Tetravalente (DTP/Hib) (TETRA)";"0";"0";"0";"0";"0";"0";"0";"0";"5974027";"9703610";"9520686";"9558454";"9219389";"8971886";"8698474";"8816477";"8562895";"8701112";"5856417";"67830";"0";"0";"0";"40";"32";"130";"46";"93651505"
"Tríplice Bacteriana (DTP)";"6643488";"11132015";"10158080";"11960758";"15415503";"16549258";"15349497";"15326915";"8961010";"4226551";"5595602";"5938102";"5703344";"5898853";"5500375";"5785823";"5465267";"5707567";"5892671";"5778966";"5098220";"5011299";"3901555";"4577542";"4245023";"3067283";"4968944";"203859511"
"Tríplice Viral (SCR)";"0";"25512";"29977";"1443488";"4005507";"5511368";"4822347";"4670083";"4697276";"4953481";"13116848";"6495775";"6854444";"11226210";"7828823";"7196702";"7446772";"9342112";"6890249";"10578179";"16468600";"7988924";"7811974";"6766917";"12333120";"17404577";"12909269";"198818534"
"Tetraviral (sarampo, rubéola, caxumbae varicela)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"545395";"2352606";"2016396";"929695";"1173499";"1097523";"1097493";"619126";"9831733"
"HPV Quadrivalente - Feminino";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"73";"0";"0";"5370011";"82743";"7948224";"5857290";"2372551";"3252310";"2459311";"2380529";"2581912";"32304954"
"HPV Quadrivalente - Masculino";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4367";"40453";"32126";"27058";"3300008";"2641795";"2156924";"1777428";"9980159"
"HPV";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"27619";"300254";"522348";"28978";"1094";"416";"42";"0";"0";"880751"
"Total";"19513310";"32234105";"34870162";"45532813";"72026704";"108103619";"101434338";"110949531";"97572729";"90406162";"88449197";"83754907";"81354701";"96585050";"95683362";"86332328";"90583433";"106147665";"106784297";"99958774";"113967933";"100937755";"88687975";"116196200";"109317096";"104835597";"95656574";"2377876317"
