 Recursos Federais do SUS (por Município) - Conceito de Período de Competência - Brasil
Valor despendido por Região/UF e Ano/Mês Compet
Tipo de Despesa: Campanha de Vacinação - Tríplice Viral, Campanha de vacinação, Campanha de vacinação anti-rábica, Campanha de vacinação do idoso, Vacinação Contra o Tétano Neonatal, Vacinação poliomielite
Período:Dez/1996-Dez/2006
"Região/UF";"2000/Ago";"2001/Abr";"2001/Mai";"2001/Jul";"2001/Out";"2002/Jan";"2002/Abr";"2002/Jun";"2003/Mar";"2003/Jun";"2003/Jul";"2003/Set";"2003/Out";"2004/Abr";"2004/Mai";"2004/Jul";"2004/Ago";"2004/Nov";"2005/Abr";"2005/Mai";"2005/Jul";"2005/Ago";"2005/Nov";"2006/Mai";"2006/Jul";"2006/Ago";"2006/Set";"Total"
".. Piauí";189294,05;272816,10;-;189294,05;-;277946,58;353196,71;353196,71;109377,00;279387,00;277194,50;-;80791,20;110235,15;140912,55;254671,20;277194,50;432642,60;18687,90;112211,55;287296,20;-;274121,65;113213,25;118147,70;570375,40;-;5092203,55
".. Ceará";455400,00;769122,90;-;455400,00;-;746249,95;923110,03;923110,02;539605,50;754980,30;643733,20;-;-;705673,30;382563,45;691950,15;752215,75;742621,50;393934,20;321081,75;788148,00;-;642230,05;325493,10;408150,80;1507953,10;-;13872727,05
".. Rio Grande do Norte";184573,95;263048,40;-;184573,95;-;275501,18;174919,41;174919,41;116713,80;261179,10;215163,30;-;80719,47;136112,10;128630,70;233298,90;229068,95;360538,20;11550,00;120779,55;260085,60;-;255079,90;122216,40;-;536988,90;-;4325661,17
".. Paraíba";217659,20;324189,90;-;217659,20;278955,70;477656,33;176221,84;176221,83;266230,00;311057,10;305575,05;155528,55;267997,00;225461,55;156725,10;282632,85;320575,05;447101,10;31093,70;163471,50;317861,10;-;295449,00;164497,50;13366,65;633516,24;-;6226703,04
".. Pernambuco";462000,00;707506,20;-;462000,00;587450,85;727643,10;523988,45;523988,45;515557,60;739867,50;616308,00;-;-;591030,04;365916,15;662083,65;616308,00;206193,15;264601,15;335128,50;735362,10;-;636482,55;338350,50;282532,80;1338733,73;-;12239032,47
".. Alagoas";165550,00;299399,40;-;165550,00;552903,40;416150,18;195744,91;195744,91;320354,50;311426,10;225761,80;-;228200,39;362998,88;157245,30;283713,75;267504,38;288284,40;-;97529,85;321431,40;-;248811,75;98571,15;97634,35;557541,20;-;5858052,00
".. Sergipe";119625,00;181480,50;-;119625,00;208793,75;268870,75;121419,63;121419,62;199494,40;186300,00;137825,05;-;140417,50;185943,81;90781,20;164876,40;151444,70;-;151444,70;64393,65;185137,20;-;185331,85;65361,15;185331,85;371973,05;-;3607290,76
".. Bahia";938850,00;1259093,70;-;938850,00;-;1320742,85;1791343,58;1791343,57;1030600,35;609587,10;1067691,35;609587,10;287377,92;986179,01;614799,45;1107101,25;1118093,73;-;531654,20;506974,05;1253779,20;109480,50;1138668,30;510975,45;652978,15;2316711,25;-;22492462,06
"Região Sudeste";2308125,00;2696496,70;-;2308125,00;1513491,70;3858929,98;1414950,02;1414950,00;1604490,15;2765074,80;2903749,75;-;-;1633710,39;1377681,30;2492251,83;2977152,75;510832,00;103981,25;1485293,40;2804527,60;-;2912309,25;891325,35;836688,52;5034928,98;1708,40;45850774,12
".. Minas Gerais";590375,00;1177426,60;-;590375,00;36257,20;1140335,30;632147,35;632147,35;702638,20;1173267,20;670097,25;-;-;671745,12;593423,25;1071277,88;696554,00;510832,00;72050,00;605404,45;1217704,60;-;714189,50;-;822888,52;1823648,42;340,20;16145124,39
".. Espírito Santo";111750,00;202360,20;-;111750,00;179410,75;278340,85;85774,58;85774,57;145887,05;209118,70;137691,75;-;-;112110,97;103196,10;187105,45;137691,75;-;13181,25;95685,80;208399,80;-;137566,00;97141,80;13800,00;318339,55;-;2972076,92
".. Rio de Janeiro";470250,00;354161,40;-;470250,00;-;516207,70;334051,15;334051,15;238186,20;379491,30;585407,00;-;-;240421,05;185969,85;337106,85;585407,00;-;-;245495,70;377675,70;-;550000,00;248076,15;-;502506,50;-;6954714,70
".. São Paulo";1135750,00;962548,50;-;1135750,00;1297823,75;1924046,13;362976,94;362976,93;517778,70;1003197,60;1510553,75;-;-;609433,25;495092,10;896761,65;1557500,00;-;18750,00;538707,45;1000747,50;-;1510553,75;546107,40;-;2390434,51;1368,20;19778858,11
"Região Sul";52500,00;708083,70;-;52500,00;-;536921,35;594044,34;594044,31;356365,20;690687,00;45520,25;-;-;359709,15;333593,55;606487,65;45520,25;-;-;367270,80;669253,50;-;39727,50;371126,10;8125,00;611847,62;1138,20;7044465,47
".. Paraná";52500,00;287792,10;-;52500,00;-;224438,55;117340,73;117340,72;124768,50;276147,60;45520,25;-;-;125827,65;135028,65;245285,85;45520,25;-;-;128226,00;269823,60;-;39727,50;129450,30;-;299486,92;-;2716725,17
".. Santa Catarina";-;151347,30;-;-;-;104474,15;158037,93;158037,92;67322,25;149354,10;-;-;-;68193,15;71454,90;130268,25;-;-;-;70165,35;145198,50;-;-;71169,30;8125,00;137529,60;-;1490677,70
".. Rio Grande do Sul";-;268944,30;-;-;-;208008,65;318665,68;318665,67;164274,45;265185,30;-;-;-;165688,35;127110,00;230933,55;-;-;-;168879,45;254231,40;-;-;170506,50;-;174831,10;1138,20;2837062,60
"Região Centro-Oeste";1034300,00;769396,30;-;1034300,00;44547,45;1009790,65;833054,68;833054,67;259041,95;764135,50;1236194,45;-;-;379134,80;382418,60;692593,70;1328995,95;-;70867,50;270946,60;784300,70;-;1269354,65;275163,25;234928,10;1528122,20;526079,80;15560721,50
".. Mato Grosso do Sul";215050,00;154711,20;-;215050,00;-;209231,60;211179,20;211179,20;57188,25;149183,30;289907,20;-;-;57885,45;74348,75;134719,90;307236,05;-;-;59466,75;150602,90;-;296270,15;60276,30;106573,50;457489,70;470,00;3418019,40
".. Mato Grosso";239250,00;191536,80;-;239250,00;-;236537,40;301966,30;301966,30;52742,20;189191,80;296351,55;-;-;169904,95;96351,15;174153,70;319581,90;-;70867,50;55052,90;200704,00;-;299525,05;55874,35;128354,60;326880,40;198153,90;4144196,75
".. Goiás";517000,00;361690,00;-;517000,00;44547,45;494709,50;258125,25;258125,25;131554,15;361215,40;581291,70;-;-;133435,75;178471,65;324094,05;633534,00;-;-;137720,45;364576,10;-;618191,20;139899,90;-;618191,20;327455,90;7000828,90
".. Distrito Federal";63000,00;61458,30;-;63000,00;-;69312,15;61783,93;61783,92;17557,35;64545,00;68644,00;-;-;17908,65;33247,05;59626,05;68644,00;-;-;18706,50;68417,70;-;55368,25;19112,70;-;125560,90;-;997676,45
"Ignorado/Exterior";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";7711095,50;12163126,00;323128,00;7711095,50;5006112,90;13294662,10;10509574,01;10509573,89;7236570,00;11752690,10;9461985,15;848047,65;1500000,07;8101531,74;6971029,13;11280849,36;9444038,76;5418562,25;2666845,60;4841892,60;12812172,10;109480,50;10047350,92;4285619,70;4715000,47;21288148,27;528926,40;200539108,67
 Fonte: Ministério da Saúde - SIH/SUS, SIA/SUS e Fundo Nacional de Saúde
